"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Jalen Tolbert","DAL","47.2","652.1","4.5","1.0","5.5","0.0","0.6","91.4"
"John Metchie III","HOU","58.4","710.7","3.5","0.0","0.0","0.0","0.4","91.1"
"DeAndre Hopkins","ARI","54.3","623.6","4.8","0.0","1.0","0.0","0.7","90.0"
"Joshua Palmer","LAC","51.1","592.2","4.9","0.0","0.0","0.0","0.4","87.6"
"D.J. Chark Jr.","DET","40.6","591.3","4.6","0.5","4.0","0.0","0.1","86.9"
"Rondale Moore","ARI","63.5","560.9","2.9","23.7","122.7","0.5","0.9","86.5"
"George Pickens","PIT","52.4","675.6","3.1","0.0","0.0","0.0","0.3","85.5"
"A.J. Green","ARI","44.4","645.2","3.5","0.0","0.0","0.0","0.6","84.0"
"Donovan Peoples-Jones","CLE","40.3","657.8","3.2","0.0","0.0","0.0","0.7","83.7"
"Curtis Samuel","WAS","45.5","489.7","3.4","17.2","89.5","0.9","0.7","82.1"
"Cedrick Wilson Jr.","MIA","49.2","592.5","4.0","1.5","3.5","0.0","0.8","81.7"
"Kendrick Bourne","NE","41.7","499.7","3.5","11.1","90.8","0.3","0.6","80.3"
"Velus Jones Jr.","CHI","49.6","608.6","3.3","0.0","0.0","0.0","0.3","80.2"
"Jamison Crowder","BUF","53.1","536.5","4.4","0.5","2.5","0.0","0.7","79.1"
"Nick Westbrook-Ikhine","TEN","42.7","546.6","4.2","0.0","0.0","0.0","0.7","78.5"
"James Washington","DAL","32.3","508.0","4.4","1.0","6.5","0.0","0.1","77.9"
"Braxton Berrios","NYJ","42.0","420.4","2.6","11.0","71.4","2.3","0.6","77.0"
"Randall Cobb","GB","40.1","484.1","4.8","2.0","7.4","0.0","0.7","76.9"
"Nico Collins","HOU","42.9","573.1","2.6","0.0","0.0","0.0","0.2","72.5"
"Devin Duvernay","BAL","41.5","461.8","3.0","9.3","62.4","0.4","0.4","71.8"
"Sammy Watkins","GB","39.6","528.9","3.0","1.5","8.3","0.0","0.7","70.4"
"Marquez Callaway","NO","33.9","463.2","3.9","0.0","0.0","0.0","0.1","69.3"
"Darius Slayton","NYG","35.7","507.4","3.2","0.5","-5.0","0.0","0.6","68.9"
"Anthony Schwartz","CLE","37.3","475.4","3.0","4.3","26.2","0.2","0.3","68.7"
"D'Wayne Eskridge","SEA","37.6","462.3","2.6","7.9","52.5","0.3","0.3","67.8"
"Sterling Shepard","NYG","55.2","522.9","2.3","2.5","9.5","0.0","0.6","66.1"
"Malik Turner","SF","24.0","348.0","5.0","0.0","0.0","0.0","0.0","64.8"
"Jauan Jennings","SF","35.9","407.6","4.0","0.0","0.0","0.0","0.1","64.6"
"Nelson Agholor","NE","32.4","414.3","2.9","3.7","18.4","0.1","0.1","61.0"
"Olamide Zaccheaus","ATL","35.8","436.9","2.9","0.5","1.0","0.0","0.1","61.0"
"Zay Jones","JAC","42.6","475.9","2.3","1.0","1.5","0.0","0.6","60.4"
"Bryan Edwards","LV","27.3","440.3","2.6","0.0","0.0","0.0","0.1","59.6"
"Terrace Marshall Jr.","CAR","38.5","443.1","2.1","0.0","0.0","0.0","0.3","56.3"
"Laviska Shenault Jr.","JAC","38.9","400.2","1.5","11.4","48.1","0.1","0.6","53.5"
"Tutu Atwell","LAR","30.1","368.7","2.8","0.0","0.0","0.0","0.2","53.5"
"Amari Rodgers","GB","30.6","408.8","2.1","1.0","9.5","0.0","0.6","53.2"
"Jalen Guyton","LAC","23.9","341.6","2.2","7.8","39.0","0.2","0.1","52.4"
"David Bell","CLE","27.9","388.1","2.3","1.0","6.0","0.0","0.6","52.0"
"Wan'Dale Robinson","NYG","31.2","340.5","1.7","8.1","49.1","0.4","0.2","50.6"
"Byron Pringle","CHI","35.6","390.8","1.9","0.0","0.0","0.0","0.3","49.8"
"Chris Conley","HOU","29.0","383.8","1.7","0.0","0.0","0.0","0.3","48.3"
"Damiere Byrd","ATL","35.9","405.8","1.5","0.0","1.0","0.0","0.6","48.1"
"Noah Brown","DAL","30.8","350.5","2.1","0.0","0.5","0.0","0.1","47.7"
"James Proche II","BAL","30.2","358.5","1.9","0.0","0.0","0.0","0.2","46.9"
"Deonte Harty","NO","24.4","341.1","1.8","3.5","25.0","0.0","0.5","46.1"
"Isaiah McKenzie","BUF","25.2","242.0","1.9","10.0","58.5","0.6","0.2","44.8"
"Tylan Wallace","BAL","26.0","320.9","2.2","0.0","0.0","0.0","0.2","44.7"
"Danny Gray","SF","22.8","347.7","1.4","1.0","5.5","0.0","0.5","42.9"
"Parris Campbell","IND","26.3","325.2","1.6","0.0","0.0","0.0","0.2","41.9"
"Breshad Perriman","TB","19.5","300.2","1.9","1.0","1.0","0.0","0.0","41.7"
"Quintez Cephus","DET","18.6","253.6","2.6","0.0","0.0","0.0","0.0","41.2"
"KJ Hamler","DEN","22.6","298.8","1.9","0.0","0.0","0.0","0.2","41.0"
"Zach Pascal","PHI","16.7","202.7","2.1","0.0","0.0","0.0","0.1","32.5"
"Romeo Doubs","GB","17.6","213.6","1.9","0.0","0.0","0.0","0.1","32.4"
"Tre'Quan Smith","NO","13.7","153.9","1.2","8.8","53.1","0.3","0.2","29.7"
"Demarcus Robinson","LV","18.1","207.4","1.4","0.0","0.0","0.0","0.1","29.2"
"Tyquan Thornton","NE","17.3","204.4","1.3","0.0","0.0","0.0","0.1","27.9"
"Calvin Austin III","PIT","18.2","202.6","1.0","0.0","0.0","0.0","0.1","26.3"
"Tyler Johnson","TB","16.1","179.3","1.4","0.0","0.0","0.0","0.1","25.9"
"Ashton Dulin","IND","12.6","155.7","1.0","4.7","30.3","0.2","0.1","25.6"
"Phillip Dorsett II","HOU","14.5","175.1","1.0","0.0","0.0","0.0","0.1","23.1"
"Laquon Treadwell","JAC","14.9","164.6","1.0","0.0","0.0","0.0","0.1","22.4"
"Bisi Johnson","MIN","14.5","157.5","1.1","0.0","0.0","0.0","0.1","22.3"
"Racey McMath","TEN","13.2","159.9","1.0","0.0","0.0","0.0","0.1","21.7"
"Brandon Zylstra","CAR","14.6","168.3","0.7","0.0","0.0","0.0","0.1","20.7"
"Dazz Newsome","CHI","13.1","157.1","0.9","0.0","0.0","0.0","0.1","20.6"
"KhaDarel Hodge","ATL","12.0","151.3","0.8","0.0","0.0","0.0","0.1","19.7"
"Josh Reynolds","DET","9.3","125.0","1.0","0.0","0.0","0.0","0.1","18.5"
"Freddie Swain","SEA","10.5","128.3","0.7","2.0","12.0","0.1","0.1","18.3"
"Jalen Reagor","PHI","5.6","69.7","0.6","9.1","50.0","0.3","0.2","16.9"
"Trent Sherfield","MIA","9.9","118.6","0.9","0.0","0.0","0.0","0.1","16.9"
"Antoine Wesley","ARI","9.4","115.0","0.8","0.0","0.0","0.0","0.1","16.3"
"Kyle Philips","TEN","9.8","116.4","0.8","0.0","0.0","0.0","0.1","16.1"
"Equanimeous St. Brown","CHI","9.0","123.2","0.5","0.0","0.0","0.0","0.1","15.3"
"Erik Ezukanma","MIA","9.2","102.5","0.8","0.0","0.0","0.0","0.1","14.9"
"Jamal Agnew","JAC","6.9","80.7","0.4","3.9","30.0","0.2","0.1","14.2"
"Dyami Brown","WAS","7.9","96.9","0.7","0.0","0.0","0.0","0.1","13.6"
"Quez Watkins","PHI","7.9","97.6","0.7","0.0","0.0","0.0","0.1","13.6"
"Collin Johnson","NYG","8.8","101.3","0.6","0.0","0.0","0.0","0.1","13.4"
"Kalif Raymond","DET","7.2","81.4","0.5","2.1","12.7","0.1","0.1","13.0"
"Simi Fehoko","DAL","7.4","86.6","0.7","0.0","0.0","0.0","0.1","12.9"
"Ben Skowronek","LAR","6.8","84.2","0.6","0.0","0.0","0.0","0.1","12.0"
"Juwann Winfree","GB","6.5","79.2","0.6","0.0","0.0","0.0","0.1","11.7"
"Ihmir Smith-Marsette","MIN","6.9","80.1","0.6","0.0","0.0","0.0","0.1","11.4"
"Auden Tate","ATL","5.7","72.8","0.5","0.0","0.0","0.0","0.0","10.3"
"Chris Moore","HOU","7.8","81.0","0.3","0.0","0.0","0.0","0.0","10.0"
"Cody Hollister","TEN","6.0","74.3","0.4","0.0","0.0","0.0","0.0","9.9"
"Jakeem Grant Sr.","CLE","4.8","58.6","0.3","2.1","12.7","0.1","0.0","9.3"
"DeAndre Carter","LAC","5.4","60.2","0.5","0.0","0.0","0.0","0.1","8.7"
"Rashard Higgins","CAR","6.8","72.0","0.3","0.0","0.0","0.0","0.1","8.6"
"Trent Taylor","CIN","4.9","57.0","0.5","0.0","0.0","0.0","0.0","8.6"
"Kendall Hinton","DEN","5.1","56.4","0.5","0.0","0.0","0.0","0.0","8.4"
"Mike Thomas","CIN","4.9","59.0","0.4","0.0","0.0","0.0","0.0","8.2"
"Denzel Mims","NYJ","4.3","58.8","0.4","0.0","0.0","0.0","0.0","8.1"
"Khalil Shakir","BUF","3.7","42.5","0.4","2.0","12.4","0.1","0.0","8.1"
