"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Duke Johnson Jr.","BUF","48.7","233.5","1.9","11.5","105.0","0.6","0.5","47.4"
"Chris Carson","SEA","56.0","245.8","1.7","13.9","90.5","0.3","0.4","45.1"
"D'Onta Foreman","CAR","69.6","273.3","1.7","6.3","59.0","0.1","0.7","43.0"
"Craig Reynolds","DET","49.8","216.0","0.8","16.6","126.3","0.7","0.6","42.3"
"Myles Gaskin","MIA","62.1","246.8","1.7","8.7","53.6","0.4","0.3","42.2"
"Kyle Juszczyk","SF","10.4","37.2","0.7","26.2","236.4","1.7","0.1","41.4"
"Boston Scott","PHI","49.7","220.2","2.4","5.8","42.4","0.2","0.2","41.3"
"Giovani Bernard","TB","36.4","143.6","1.3","19.6","132.2","0.9","0.2","40.1"
"Jaret Patterson","WAS","62.3","245.0","1.7","9.4","69.8","0.1","1.0","40.1"
"Brian Robinson Jr.","WAS","49.0","206.1","1.9","6.0","46.3","0.2","0.1","37.5"
"Dare Ogunbowale","HOU","53.1","175.1","1.2","12.0","97.7","0.6","0.5","37.0"
"Zamir White","LV","49.9","208.7","1.8","4.1","30.5","0.2","0.2","35.1"
"Snoop Conner","JAC","40.7","170.1","1.3","10.9","81.0","0.4","0.2","34.7"
"Benny Snell Jr.","PIT","54.5","211.9","1.6","4.3","29.7","0.1","0.3","33.9"
"Gary Brightwell","NYG","39.5","170.7","1.4","8.7","61.2","0.3","0.2","32.8"
"Joshua Kelley","LAC","69.7","230.2","1.5","5.2","36.0","0.0","1.6","32.7"
"Chris Evans","CIN","28.2","119.0","0.6","14.2","118.4","1.0","0.6","31.7"
"Hassan Haskins","TEN","40.1","170.1","1.1","7.0","53.3","0.2","0.1","29.9"
"Deon Jackson","IND","36.8","158.6","1.3","5.7","41.3","0.3","0.2","28.7"
"Ameer Abdullah","LV","21.8","77.4","0.3","17.9","141.3","0.8","0.1","28.3"
"Jermar Jefferson","DET","29.0","128.0","2.0","4.0","26.0","0.0","0.0","27.4"
"Josh Adams","NO","36.0","148.0","2.0","1.0","4.0","0.0","0.0","27.2"
"Tyler Badie","BAL","36.0","167.0","1.0","4.0","35.0","0.0","0.0","26.2"
"Jeff Wilson Jr.","SF","33.4","137.5","1.2","3.3","25.8","0.2","0.2","24.3"
"Tevin Coleman","NYJ","37.6","162.1","0.6","8.5","48.7","0.1","0.5","24.3"
"Derrick Gore","KC","27.0","122.7","1.0","5.3","42.3","0.2","0.1","23.6"
"Isaih Pacheco","KC","30.0","131.0","1.0","5.0","44.0","0.0","0.0","23.5"
"D'Ernest Johnson","CLE","28.3","139.0","0.8","4.0","28.1","0.1","0.1","22.0"
"Tony Jones Jr.","NO","25.6","105.9","0.7","7.4","55.0","0.3","0.1","21.9"
"Mike Boone","DEN","20.3","112.2","1.2","3.0","22.2","0.1","0.0","21.3"
"Rachaad White","TB","26.7","114.1","0.9","4.6","34.3","0.2","0.1","21.1"
"Trey Sermon","SF","34.0","138.0","1.0","1.0","12.0","0.0","0.0","21.0"
"Tory Carter","TEN","18.0","78.0","1.0","10.0","70.0","0.0","0.0","20.8"
"Demetric Felton Jr.","CLE","7.1","27.4","0.1","9.9","101.2","1.1","0.0","19.8"
"Rico Dowdle","DAL","24.4","100.1","0.8","5.4","40.8","0.2","0.0","19.6"
"Travis Homer","SEA","17.7","102.6","0.6","5.5","49.3","0.0","0.0","18.9"
"Tyrion Davis-Price","SF","26.3","105.9","0.8","3.7","31.0","0.1","0.0","18.6"
"Antonio Williams","NYG","22.0","100.7","0.8","3.6","27.3","0.1","0.0","17.8"
"Pierre Strong Jr.","NE","23.7","96.5","0.7","4.0","31.5","0.1","0.0","17.5"
"Patrick Ricard","BAL","1.5","2.0","0.0","13.9","97.8","1.2","0.0","17.3"
"JaMycal Hasty","SF","14.3","54.9","0.6","11.7","79.3","0.2","0.6","17.0"
"Ty'Son Williams","BAL","22.4","104.6","0.7","2.9","21.9","0.0","0.0","16.8"
"Johnny Stanton","CLE","10.1","41.0","0.0","8.0","54.6","1.1","0.0","16.4"
"Alex Armah Jr.","WAS","9.0","30.0","0.0","4.0","9.0","2.0","0.0","15.9"
"Trestan Ebner","CHI","21.8","88.9","0.7","3.0","23.4","0.0","0.0","15.5"
"Darrynton Evans","CHI","15.5","66.7","0.5","5.7","40.3","0.2","0.1","14.9"
"Jake Funk","LAR","20.1","85.5","0.7","2.1","15.3","0.1","0.1","14.9"
"Kene Nwangwu","MIN","16.8","72.6","0.6","4.3","30.6","0.2","0.1","14.8"
"Kevin Harris","NE","19.6","79.2","0.6","3.0","24.2","0.0","0.0","14.0"
"Keaontay Ingram","ARI","19.0","73.3","0.6","3.0","26.9","0.0","0.0","13.7"
"Jerome Ford","CLE","17.0","81.7","0.5","2.0","18.5","0.0","0.0","13.2"
"Anthony McFarland Jr.","PIT","19.0","79.7","0.5","2.0","14.3","0.1","0.1","12.8"
"Qadree Ollison","ATL","14.7","60.9","0.4","3.7","25.5","0.1","0.1","11.9"
"Keith Smith","ATL","7.7","32.0","0.2","8.0","57.6","0.3","0.1","11.8"
"Justice Hill","BAL","9.3","39.7","0.3","5.8","43.1","0.2","0.1","11.7"
"DeeJay Dallas","SEA","11.2","47.0","0.4","6.3","39.7","0.1","0.1","11.5"
"Godwin Igwebuike","DET","11.9","52.4","0.4","3.9","28.7","0.1","0.1","11.2"
"Jason Huntley","PHI","12.9","55.0","0.4","3.5","24.2","0.1","0.1","11.2"
"Salvon Ahmed","MIA","11.3","47.4","0.3","4.1","30.9","0.2","0.0","10.7"
"JaQuan Hardy","DAL","12.6","54.5","0.5","2.2","16.1","0.1","0.1","10.3"
"Kylin Hill","GB","11.4","49.2","0.3","2.0","14.9","0.1","0.1","8.9"
"C.J. Ham","MIN","0.0","0.0","0.0","8.6","63.2","0.4","0.0","8.5"
"Dwayne Washington","NO","8.4","36.4","0.2","3.7","27.0","0.1","0.0","8.5"
"Adam Prentice","NO","4.4","18.8","0.1","3.9","29.7","0.3","0.0","7.2"
"Jakob Johnson","LV","4.1","17.0","0.1","4.3","32.1","0.3","0.1","7.2"
"Trey Edmunds","PIT","7.4","31.4","0.2","2.1","14.3","0.1","0.0","6.1"
"Jason Cabinda","DET","2.1","9.1","0.1","4.1","31.2","0.2","0.0","5.8"
"Zack Moss","BUF","7.5","30.6","0.3","0.0","0.0","0.0","0.0","5.0"
"Michael Burton","KC","7.1","29.8","0.3","0.0","0.0","0.0","0.0","4.9"
"Giovanni Ricci","CAR","0.0","0.0","0.0","4.3","31.9","0.3","0.0","4.8"
"Alec Ingold","MIA","0.0","0.0","0.0","4.5","32.3","0.3","0.0","4.7"
"Reggie Gilliam","BUF","0.0","0.0","0.0","4.4","32.5","0.2","0.0","4.6"
"Larry Rountree III","LAC","4.1","17.0","0.2","2.2","15.4","0.1","0.0","4.6"
"Trenton Cannon","TEN","4.5","19.1","0.1","1.9","14.5","0.1","0.0","4.5"
"Trevon Wesco","NYJ","0.0","0.0","0.0","4.2","31.4","0.2","0.0","4.4"
"Patrick Taylor Jr.","GB","3.8","16.3","0.1","2.1","14.8","0.1","0.0","4.3"
"Khari Blasingame","CHI","0.0","0.0","0.0","4.0","29.6","0.2","0.0","4.3"
"Derek Watt","PIT","0.0","0.0","0.0","4.3","30.8","0.2","0.0","4.1"
"Ryquell Armstead","JAC","4.0","17.0","0.1","1.5","11.6","0.1","0.0","3.9"
"Trayveon Williams","CIN","0.0","0.0","0.0","4.0","28.2","0.2","0.0","3.7"
"Gabe Nabers","LAC","4.3","18.4","0.2","0.0","0.0","0.0","0.0","2.8"
"Ty Chandler","MIN","4.0","16.7","0.1","0.0","0.0","0.0","0.0","2.5"
""
""
