,Player,Team,POS,RUSH_ATT,RUSH_YD,RUSH_TD,REC,REC_YD,REC_TD,FL,PASS_ATT,CMP,PASS_YD,PASS_TD,INTS
49,Marlon Mack,HOU,RB,152.8,603.2,3.9,12.1,77.0,0.2,0.8,0.0,0.0,0,0.0,0.0
50,Kenneth Gainwell,PHI,RB,83.4,349.6,4.2,29.2,231.3,1.6,1.3,0.0,0.0,0,0.0,0.0
51,Nyheim Hines,IND,RB,68.3,309.3,1.9,48.1,373.5,1.9,2.4,0.0,0.0,0,0.0,0.0
52,Kenyan Drake,LV,RB,88.6,364.6,3.0,29.5,250.0,1.1,1.3,0.0,0.0,0,0.0,0.0
53,Dameon Pierce,HOU,RB,115.5,497.3,2.9,18.4,133.4,0.6,0.5,0.0,0.0,0,0.0,0.0
54,Mark Ingram II,NO,RB,128.6,444.7,3.3,23.7,161.2,0.8,1.3,0.0,0.0,0,0.0,0.0
55,Damien Williams,ATL,RB,85.8,374.7,2.5,24.3,190.6,1.3,0.3,0.0,0.0,0,0.0,0.0
56,Rex Burkhead,HOU,RB,80.6,293.1,2.5,33.2,265.0,1.4,0.7,0.0,0.0,0,0.0,0.0
57,Ke'Shawn Vaughn,TB,RB,109.1,431.5,4.5,12.2,78.6,0.2,0.8,0.0,0.0,0,0.0,0.0
58,James White,NE,RB,35.7,154.0,1.4,47.5,393.7,2.2,0.2,0.0,0.0,0,0.0,0.0
59,Eno Benjamin,ARI,RB,87.9,373.5,2.9,21.8,158.6,0.7,0.4,0.0,0.0,0,0.0,0.0
60,Brandon Bolden,LV,RB,49.0,224.0,1.0,33.0,330.0,1.0,1.0,0.0,0.0,0,0.0,0.0
61,Samaje Perine,CIN,RB,83.0,342.9,2.0,17.5,125.4,0.9,0.6,0.0,0.0,0,0.0,0.0
62,Dontrell Hilliard,TEN,RB,57.7,291.7,2.2,32.3,194.0,0.5,1.3,0.0,0.0,0,0.0,0.0
63,Matt Breida,NYG,RB,86.5,358.5,1.8,14.8,113.8,1.3,1.7,0.0,0.0,0,0.0,0.0
64,Chuba Hubbard,CAR,RB,93.9,318.8,2.3,15.9,110.5,0.7,0.6,0.0,0.0,0,0.0,0.0
65,Ty Johnson,NYJ,RB,44.7,214.5,1.1,21.4,208.4,1.1,1.0,0.0,0.0,0,0.0,0.0
66,Royce Freeman,HOU,RB,92.0,277.0,2.0,21.0,143.0,0.0,1.0,0.0,0.0,0,0.0,0.0
67,Khalil Herbert,CHI,RB,66.4,280.3,1.6,13.3,95.6,0.3,0.7,0.0,0.0,0,0.0,0.0
68,Duke Johnson Jr.,BUF,RB,48.7,233.5,1.9,11.5,105.0,0.6,0.5,0.0,0.0,0,0.0,0.0
69,Chris Carson,SEA,RB,56.0,245.8,1.7,13.9,90.5,0.3,0.4,0.0,0.0,0,0.0,0.0
70,D'Onta Foreman,CAR,RB,69.6,273.3,1.7,6.3,59.0,0.1,0.7,0.0,0.0,0,0.0,0.0
71,Craig Reynolds,DET,RB,49.8,216.0,0.8,16.6,126.3,0.7,0.6,0.0,0.0,0,0.0,0.0
72,Myles Gaskin,MIA,RB,62.1,246.8,1.7,8.7,53.6,0.4,0.3,0.0,0.0,0,0.0,0.0
73,Kyle Juszczyk,SF,RB,10.4,37.2,0.7,26.2,236.4,1.7,0.1,0.0,0.0,0,0.0,0.0
74,Boston Scott,PHI,RB,49.7,220.2,2.4,5.8,42.4,0.2,0.2,0.0,0.0,0,0.0,0.0
75,Giovani Bernard,TB,RB,36.4,143.6,1.3,19.6,132.2,0.9,0.2,0.0,0.0,0,0.0,0.0
76,Jaret Patterson,WAS,RB,62.3,245.0,1.7,9.4,69.8,0.1,1.0,0.0,0.0,0,0.0,0.0
77,Brian Robinson Jr.,WAS,RB,49.0,206.1,1.9,6.0,46.3,0.2,0.1,0.0,0.0,0,0.0,0.0
78,Dare Ogunbowale,HOU,RB,53.1,175.1,1.2,12.0,97.7,0.6,0.5,0.0,0.0,0,0.0,0.0
79,Zamir White,LV,RB,49.9,208.7,1.8,4.1,30.5,0.2,0.2,0.0,0.0,0,0.0,0.0
80,Snoop Conner,JAC,RB,40.7,170.1,1.3,10.9,81.0,0.4,0.2,0.0,0.0,0,0.0,0.0
81,Benny Snell Jr.,PIT,RB,54.5,211.9,1.6,4.3,29.7,0.1,0.3,0.0,0.0,0,0.0,0.0
82,Gary Brightwell,NYG,RB,39.5,170.7,1.4,8.7,61.2,0.3,0.2,0.0,0.0,0,0.0,0.0
83,Joshua Kelley,LAC,RB,69.7,230.2,1.5,5.2,36.0,0.0,1.6,0.0,0.0,0,0.0,0.0
84,Chris Evans,CIN,RB,28.2,119.0,0.6,14.2,118.4,1.0,0.6,0.0,0.0,0,0.0,0.0
85,Hassan Haskins,TEN,RB,40.1,170.1,1.1,7.0,53.3,0.2,0.1,0.0,0.0,0,0.0,0.0
86,Deon Jackson,IND,RB,36.8,158.6,1.3,5.7,41.3,0.3,0.2,0.0,0.0,0,0.0,0.0
87,Ameer Abdullah,LV,RB,21.8,77.4,0.3,17.9,141.3,0.8,0.1,0.0,0.0,0,0.0,0.0
88,Jermar Jefferson,DET,RB,29.0,128.0,2.0,4.0,26.0,0.0,0.0,0.0,0.0,0,0.0,0.0
89,Josh Adams,NO,RB,36.0,148.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0,0.0,0.0
90,Tyler Badie,BAL,RB,36.0,167.0,1.0,4.0,35.0,0.0,0.0,0.0,0.0,0,0.0,0.0
91,Jeff Wilson Jr.,SF,RB,33.4,137.5,1.2,3.3,25.8,0.2,0.2,0.0,0.0,0,0.0,0.0
92,Tevin Coleman,NYJ,RB,37.6,162.1,0.6,8.5,48.7,0.1,0.5,0.0,0.0,0,0.0,0.0
93,Derrick Gore,KC,RB,27.0,122.7,1.0,5.3,42.3,0.2,0.1,0.0,0.0,0,0.0,0.0
94,Isaih Pacheco,KC,RB,30.0,131.0,1.0,5.0,44.0,0.0,0.0,0.0,0.0,0,0.0,0.0
95,D'Ernest Johnson,CLE,RB,28.3,139.0,0.8,4.0,28.1,0.1,0.1,0.0,0.0,0,0.0,0.0
96,Tony Jones Jr.,NO,RB,25.6,105.9,0.7,7.4,55.0,0.3,0.1,0.0,0.0,0,0.0,0.0
97,Mike Boone,DEN,RB,20.3,112.2,1.2,3.0,22.2,0.1,0.0,0.0,0.0,0,0.0,0.0
98,Rachaad White,TB,RB,26.7,114.1,0.9,4.6,34.3,0.2,0.1,0.0,0.0,0,0.0,0.0
99,Trey Sermon,SF,RB,34.0,138.0,1.0,1.0,12.0,0.0,0.0,0.0,0.0,0,0.0,0.0
100,Tory Carter,TEN,RB,18.0,78.0,1.0,10.0,70.0,0.0,0.0,0.0,0.0,0,0.0,0.0
101,Demetric Felton Jr.,CLE,RB,7.1,27.4,0.1,9.9,101.2,1.1,0.0,0.0,0.0,0,0.0,0.0
102,Rico Dowdle,DAL,RB,24.4,100.1,0.8,5.4,40.8,0.2,0.0,0.0,0.0,0,0.0,0.0
103,Travis Homer,SEA,RB,17.7,102.6,0.6,5.5,49.3,0.0,0.0,0.0,0.0,0,0.0,0.0
104,Tyrion Davis-Price,SF,RB,26.3,105.9,0.8,3.7,31.0,0.1,0.0,0.0,0.0,0,0.0,0.0
105,Antonio Williams,NYG,RB,22.0,100.7,0.8,3.6,27.3,0.1,0.0,0.0,0.0,0,0.0,0.0
106,Pierre Strong Jr.,NE,RB,23.7,96.5,0.7,4.0,31.5,0.1,0.0,0.0,0.0,0,0.0,0.0
107,Patrick Ricard,BAL,RB,1.5,2.0,0.0,13.9,97.8,1.2,0.0,0.0,0.0,0,0.0,0.0
108,JaMycal Hasty,SF,RB,14.3,54.9,0.6,11.7,79.3,0.2,0.6,0.0,0.0,0,0.0,0.0
109,Ty'Son Williams,BAL,RB,22.4,104.6,0.7,2.9,21.9,0.0,0.0,0.0,0.0,0,0.0,0.0
110,Johnny Stanton,CLE,RB,10.1,41.0,0.0,8.0,54.6,1.1,0.0,0.0,0.0,0,0.0,0.0
111,Alex Armah Jr.,WAS,RB,9.0,30.0,0.0,4.0,9.0,2.0,0.0,0.0,0.0,0,0.0,0.0
112,Trestan Ebner,CHI,RB,21.8,88.9,0.7,3.0,23.4,0.0,0.0,0.0,0.0,0,0.0,0.0
113,Darrynton Evans,CHI,RB,15.5,66.7,0.5,5.7,40.3,0.2,0.1,0.0,0.0,0,0.0,0.0
