"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
"Nick Mullens","LV","30.6","20.5","228.4","1.3","1.1","2.2","2.8","0.0","0.6","12.5"
"Malik Willis","TEN","27.5","17.2","188.1","1.1","0.9","2.5","12.0","0.1","0.1","12.3"
"C.J. Beathard","JAC","28.9","17.8","194.8","1.2","0.4","2.8","11.3","0.0","0.7","12.2"
"Tim Boyle","DET","28.4","17.5","181.9","1.2","1.1","2.6","10.2","0.0","0.1","12.1"
"Trevor Siemian","CHI","28.2","17.3","190.2","1.1","0.8","2.0","9.0","0.0","0.1","11.9"
"Mason Rudolph","PIT","27.0","17.0","159.0","1.0","0.0","4.0","13.0","0.0","0.0","11.7"
"Taylor Heinicke","WAS","23.0","15.0","158.8","1.0","0.4","3.4","14.1","0.0","0.1","11.5"
"Brian Hoyer","NE","26.5","17.1","187.5","1.2","1.1","3.1","3.3","0.0","0.1","11.4"
"Garrett Gilbert","LV","26.0","14.0","162.0","1.0","1.0","4.0","15.0","0.0","0.0","11.0"
"Kellen Mond","MIN","26.1","15.3","156.9","1.2","0.6","1.2","5.0","0.0","0.1","10.9"
"Kyle Allen","HOU","28.4","18.0","196.3","1.1","0.9","1.7","6.6","0.0","0.7","10.9"
"Sean Mannion","MIN","24.0","13.0","151.0","1.0","1.0","5.0","18.0","0.0","0.0","10.8"
"Sam Ehlinger","IND","21.0","12.1","134.4","1.1","0.5","2.6","7.8","0.0","0.1","10.0"
"Mike White","NYJ","25.0","14.0","159.0","1.0","1.0","4.0","4.0","0.0","0.0","9.8"
"Ian Book","NO","20.0","10.0","112.0","1.0","1.0","5.0","14.0","0.0","0.0","8.9"
"Sam Howell","WAS","7.7","4.7","51.0","0.3","0.3","0.3","1.0","0.0","0.1","3.1"
"Joshua Dobbs","CLE","3.3","2.0","21.9","0.1","0.1","0.1","0.6","0.0","0.0","1.4"
""
""
