"Player","Team","REC","YDS","TDS","FL","FPTS"
"Jeremy Sprinkle","DAL","7.5","77.6","0.6","0.0","11.3"
"Zach Gentry","PIT","8.5","74.7","0.6","0.0","11.2"
"Jeremy Ruckert","NYJ","7.3","73.3","0.7","0.0","11.2"
"Devin Asiasi","NE","5.9","77.8","0.6","0.0","11.2"
"Dominique Dafney","GB","5.3","67.1","0.7","0.0","10.8"
"Grant Calcaterra","PHI","6.6","68.0","0.7","0.0","10.7"
"Miller Forristall","CLE","7.1","72.2","0.6","0.1","10.7"
"Colby Parkinson","SEA","7.2","72.4","0.6","0.1","10.4"
"Charlie Woerner","SF","6.5","65.8","0.6","0.0","10.3"
"Isaiah Likely","BAL","6.4","63.8","0.6","0.0","9.9"
"Hunter Long","MIA","6.4","61.9","0.6","0.0","9.7"
"Cole Turner","WAS","6.4","61.8","0.6","0.0","9.6"
"Teagan Quitoriano","HOU","6.5","60.5","0.6","0.0","9.4"
"Andrew Ogletree","IND","5.8","59.2","0.6","0.0","9.4"
"Ross Dwelley","SF","6.3","60.1","0.5","0.0","8.9"
"Johnny Mundt","MIN","5.6","57.0","0.5","0.0","8.4"
"Charlie Kolar","BAL","5.2","54.6","0.5","0.0","8.3"
"Daniel Bellinger","NYG","5.8","58.8","0.4","0.0","8.2"
"Parker Hesse","ATL","5.3","54.0","0.4","0.0","7.4"
"Codey McElroy","TB","4.4","46.5","0.4","0.0","7.2"
"Adam Shaheen","MIA","3.9","38.2","0.5","0.0","6.5"
"Hunter Kampmoyer","LAC","3.9","40.1","0.4","0.0","6.2"
"Eric Tomlinson","DEN","3.5","36.8","0.3","0.0","5.6"
"Mitchell Wilcox","CIN","3.6","36.5","0.3","0.0","5.6"
"Jack Stoll","PHI","3.4","33.6","0.3","0.0","5.3"
"Sammis Reyes","WAS","3.4","35.4","0.3","0.0","5.2"
"Stephen Sullivan","CAR","3.7","36.9","0.2","0.0","5.0"
"Tyler Mabry","SEA","3.6","36.3","0.2","0.0","5.0"
"Zach Davidson","MIN","1.8","18.8","0.2","0.0","2.8"
"Shane Zylstra","DET","1.8","18.1","0.2","0.0","2.8"
"Chris Myarick","NYG","1.9","18.4","0.1","0.0","2.7"
"Chigoziem Okonkwo","TEN","1.7","17.8","0.1","0.0","2.6"
"Jacob Hollister","LV","1.8","16.7","0.2","0.0","2.6"
"John FitzPatrick","ATL","1.7","17.3","0.1","0.0","2.4"
""
""
